,index,critical_temp
0,0,42.21915885702248
1,1,24.538167825303223
2,2,68.9637314709742
3,3,63.414008790145246
4,4,67.1857605938569
5,5,73.58743094116353
6,6,65.56141607860307
7,7,52.19148272751451
8,8,56.21587843873857
9,9,71.75233359158307
10,10,23.40514964011269
11,11,21.567833685949932
12,12,66.43244855497122
13,13,66.64804230810262
14,14,68.27183235538205
15,15,68.27183235538205
16,16,68.27183235538205
17,17,68.27183235538205
18,18,73.82388467317655
19,19,49.48530854404989
20,20,48.27000157897116
21,21,66.33980739791866
22,22,19.53315894366693
23,23,68.64469671570444
24,24,68.59423186324764
25,25,69.74740848205998
26,26,23.40514964011269
27,27,66.66188600125435
28,28,82.98840442986759
29,29,83.38376905326648
30,30,29.349818411181445
31,31,94.67470302837225
32,32,96.05342577609555
33,33,79.17989903181935
34,34,92.90145158062516
35,35,68.69349360023539
36,36,66.78274702032297
37,37,66.25858877288714
38,38,68.9249807568139
39,39,65.3682592063691
40,40,73.73034384188436
41,41,73.2066075711769
42,42,22.16512517554034
43,43,84.72565560555371
44,44,68.27183235538205
45,45,84.72565560555371
46,46,50.801508640143595
47,47,68.85711207283626
48,48,69.10839197063672
49,49,74.78082421545005
50,50,75.38139116512708
51,51,71.34504554718741
52,52,66.50802802189253
53,53,62.936486103726295
54,54,66.64804230810262
55,55,80.89990761246908
56,56,79.78500713182808
57,57,79.08648757050304
58,58,41.23747731535184
59,59,42.70082824581059
60,60,68.44755711609893
61,61,79.17989903181935
62,62,68.43142224501818
63,63,71.64740492175466
64,64,73.75256718492771
65,65,69.29980412597486
66,66,71.54644725355509
67,67,67.31998021112045
68,68,71.45474913491482
69,69,79.17989903181935
70,70,82.99723505610744
71,71,64.12751228669937
72,72,72.22702949812391
73,73,65.97160676112335
74,74,23.40514964011269
75,75,78.63506108350647
76,76,36.70357267640978
77,77,34.261659207030235
78,78,68.36720399680617
79,79,66.87434249455983
80,80,65.02199435738734
81,81,67.43787590438963
82,82,61.18906943811802
83,83,22.576452735254986
84,84,62.364963744983385
85,85,26.411636070722448
86,86,68.59423186324764
87,87,54.14470641765276
88,88,69.15527497175152
89,89,69.1728646218731
90,90,70.60605392945807
91,91,69.91133619403797
92,92,70.4498594401083
93,93,78.59288286533801
94,94,73.9689865520226
95,95,75.03971957554631
96,96,53.303648392613546
97,97,21.693785264697723
98,98,63.90212032979734
99,99,60.54382150576425
100,100,57.89431941281274
101,101,66.52380449785139
102,102,67.73685901195203
103,103,80.39771080393622
104,104,78.14028984541106
105,105,81.84233805024672
106,106,75.64843959713198
107,107,78.34521741983141
108,108,62.55960739136705
109,109,72.71233868341075
110,110,72.05247811893301
111,111,71.65237093824815
112,112,70.88024831006405
113,113,59.538885460861444
114,114,66.10352404195258
115,115,65.23367856558949
116,116,66.10352404195258
117,117,73.1163712746674
118,118,62.282469294221414
119,119,61.179668922833756
120,120,69.39055887794339
121,121,69.25662717793955
122,122,69.06778089463137
123,123,62.240846565990296
124,124,59.12574467254889
125,125,68.27183235538205
126,126,62.85199066833094
127,127,70.0231592031443
128,128,96.05342577609555
129,129,25.75354662784712
130,130,65.92866311990869
131,131,72.22702949812391
132,132,75.1862354450725
133,133,84.82474695538745
134,134,79.86774572817708
135,135,66.70918320359597
136,136,78.33220310816094
137,137,40.98722159463378
138,138,66.50802802189253
139,139,62.936486103726295
140,140,68.62718659617666
141,141,69.05047822735563
142,142,20.525318484496147
143,143,21.165147302828203
144,144,68.44755711609893
145,145,66.66188600125435
146,146,63.363689814254684
147,147,63.061902999815885
148,148,75.73578426496785
149,149,60.38354539371558
150,150,83.68622946981064
151,151,79.06359994701842
152,152,77.49393905010255
153,153,73.06456164787221
154,154,72.31469820627201
155,155,68.27183235538205
156,156,64.15429639959008
157,157,62.55738758278001
158,158,59.48294888110159
159,159,64.54267209357762
160,160,65.3608800062271
161,161,72.22702949812391
162,162,70.87271953786883
163,163,44.27754734924266
164,164,43.349998784871396
165,165,55.4488626280125
166,166,51.027044479052805
167,167,65.40704012917301
168,168,65.87187706565533
169,169,65.92866311990869
170,170,45.92213687310902
171,171,57.32830873802597
172,172,43.272206823701424
173,173,27.422888259035393
174,174,33.7233725632666
175,175,27.252514809051586
176,176,33.79003790518188
177,177,36.202744788786106
178,178,68.76033462295267
179,179,26.607925056786684
180,180,75.08063297677747
181,181,29.527386437113968
182,182,20.28442321586433
183,183,23.32216572322608
184,184,62.31946340958156
185,185,62.49147928603263
186,186,63.77156372835866
187,187,64.21620677431665
188,188,66.14154467732837
189,189,65.94894040880155
190,190,66.02443340755505
191,191,24.96754401761449
192,192,63.60267028224551
193,193,68.27183235538205
194,194,98.98905449344846
195,195,83.06442977610776
196,196,95.08137483489023
197,197,95.20643892176369
198,198,69.10271824030613
199,199,69.0331349145068
200,200,63.38131142332868
201,201,74.21846430250382
202,202,76.74904729375803
203,203,72.72558901797697
204,204,60.99326840197281
205,205,78.23303638007502
206,206,58.343002678915795
207,207,65.92866311990869
208,208,69.06778089463137
209,209,78.59288286533801
210,210,70.95784792326067
211,211,67.73148156279791
212,212,66.95360494770591
213,213,68.43142224501818
214,214,66.33464992379196
215,215,63.855339293477286
216,216,66.28998080899031
217,217,58.53965892486208
218,218,65.92866311990869
219,219,24.288117518174825
220,220,68.76033462295267
221,221,26.607925056786684
222,222,23.40514964011269
223,223,66.62453849308675
224,224,66.2449382706798
225,225,55.321564212003295
226,226,68.27183235538205
227,227,66.67823227245187
228,228,94.14008935618212
229,229,59.140709628017255
230,230,25.100335409113754
231,231,63.44282882048991
232,232,64.1429262132107
233,233,65.73565273728384
234,234,66.18162367869742
235,235,66.3549385872373
236,236,50.71679591223724
237,237,51.57044422500699
238,238,53.1879448391895
239,239,56.74906089959801
240,240,58.99911063168874
241,241,62.936117943891034
242,242,63.18847078493616
243,243,63.758306391544664
244,244,65.94924804563315
245,245,77.09225995864207
246,246,78.23998321309652
247,247,77.48660651493326
248,248,62.50180278961089
249,249,62.16241687608162
250,250,66.39689052841538
251,251,66.22049684209809
252,252,70.03122219286331
253,253,70.60605392945807
254,254,63.42534403431439
255,255,74.76508339540074
256,256,74.76508339540074
257,257,59.74374591411703
258,258,65.03539299056479
259,259,24.13174732887589
260,260,80.11141477077199
261,261,76.8570165877335
262,262,60.74160803789148
263,263,60.91332424386038
264,264,56.816337336179416
265,265,52.390664582030155
266,266,69.91133619403797
267,267,79.16390162725192
268,268,55.53143110813822
269,269,79.17989903181935
270,270,62.85199066833094
271,271,69.31411452781158
272,272,95.08137483489023
273,273,80.93555628336166
274,274,81.0036271565473
275,275,81.07207455571977
276,276,81.17051522389939
277,277,81.81941137363572
278,278,32.65434794452922
279,279,40.87053650596863
280,280,-9.248935853397779
281,281,-9.295156788552447
282,282,24.13174732887589
283,283,-9.324123034146432
